id,title,theme,age_source,duration_min,players_min,players_max,participants_scope,summary,material,adaptation_u8,review,url,locator
nz-noodle-pass,Chasse à la frite avec délivrance par passe,évitement et coopération,Under 7 (classement du site),,10,10,,Même chasse ; le joueur touché pose son ballon à ses pieds.,Deux frites et six à huit ballons,,"Description source, adaptation terrain non validée.",https://www.rugbytoolbox.co.nz/training/technique/noodle-tag-1-3,DRILL EXPLANATION — progression Noodle tag 2
ffr-tresors2023,Chasse aux trésors — parcours,motricité,M8,,12,12,,"Deux équipes de six passent par paires : sauts, ramassage puis slalom. Le suivant part après l’essai ou la chute du ballon.","Plots, cerceaux, piquets ; quantité de ballons ambiguë",,Lecture documentaire ; validation terrain non effectuée,https://api.www.ffr.fr/wp-content/uploads/2023/04/plan-de-formation-m8-2023.pdf,Page 70
nz-corner,Chasse collective avec retour après ballon tombé,coopération,Under 7 (classement Rugby Toolbox),,10,20,Total réparti en deux équipes,Deux équipes dans le carré ; le porteur reste immobile.,Un ballon et quatre plots,,Vérification documentaire ; adéquation U8 et validation terrain à confirmer.,https://www.rugbytoolbox.co.nz/training/technique/corner-ball,DRILL EXPLANATION et DRILL SET-UP
wr-find-space,Chasse et arrêt dans un espace libre,évitement,Initiation Get Into Rugby ; âge précis non indiqué,6,5,5,Par atelier ; source organisée en six ateliers parallèles,Chasse et arrêt dans un espace libre,Source pour six ateliers : six ballons et douze plots,,Texte source consulté ; adéquation U8 à valider.,https://www.world.rugby/the-game/game-participation/get-into-rugby/non-contact,Section Find the Space
scot-corner,Chasseurs passeurs par trois,passe,Primaire (Écosse),,,,,Trois chasseurs coopèrent par passes ; le porteur immobile touche les fuyards. Compter les captures sur une minute.,Non renseigné,,Source primaire consultée ; adéquation U8 à valider,https://scottishrugby.org/wp-content/uploads/2022/11/SRSW_primary-teachers-pack.pdf,PDF page 20
munster-hunters,Chasseurs qui se passent le ballon,coopération,Primaire / mini-rugby,,,,,"Les chasseurs coopèrent par passes pour toucher les proies, qui rejoignent une zone d’attente.",Ballon et plots,"Proposition : commencer en marchant, faire tourner rapidement les rôles et éviter une longue attente des joueurs touchés.",Source consultée — validation terrain à faire,https://d2cx26qpfwuhvu.cloudfront.net/munster/wp-content/uploads/2021/04/19151510/Fundamental-Movement-program.pdf,PDF page 11
scot-animal,Chat et déplacements animaux,motricité,Primaire (Écosse) ; adéquation U8 à valider,,,,,Reprendre le jeu après un déplacement animal.,Plots et chasubles,,Lecture du texte et du schéma ; validation coach non effectuée.,https://scottishrugby.org/wp-content/uploads/2022/11/SRSW_primary-teachers-pack.pdf,PDF page 17 (pagination fichier)
ffr-espaces2023,Chercher les espaces libres,prise d’information,M8,,12,12,,"Au signal, les numéros appelés ramassent un ballon et rejoignent leur couleur en moins de huit secondes, sans traverser les camps.","4 ballons, plots, chasubles",,Lecture documentaire ; validation terrain non effectuée,https://api.www.ffr.fr/wp-content/uploads/2023/04/plan-de-formation-m8-2023.pdf,Page 66
nz-memory,Circuit de passes mémorisé,mémoire et manipulation,Under 7 (classement du site),,5,15,,Joueurs assis en cercle.,Ballons ; un au départ,,"Description source, adaptation terrain non validée.",https://www.rugbytoolbox.co.nz/training/technique/memory,DRILL EXPLANATION
ffr-pied,Conduire le ballon au pied,jeu au pied,M8,,,,,Avancer en guidant le ballon alternativement des deux pieds vers une zone.,Ballon,,Source consultée — validation terrain à faire,https://api.liguenouvelleaquitaine.ffr.fr/wp-content/uploads/2021/04/FFR_rugby_a_la_maison_en_famille.pdf,"PDF page 10, atelier 2"
wr-keep-ball,Conserver par dix passes sans interception,passe et soutien,Initiation Get Into Rugby ; âge non précisé,5,5,5,par atelier,Quatre passeurs contre un défenseur.,Un ballon par atelier ; plots pour délimiter,,Description documentaire ; adaptation U8 à valider par un coach.,https://www.world.rugby/the-game/game-participation/get-into-rugby/non-contact,Keep Ball
rc-two-balls,Coordonner deux ballons,manipulation,U7 (classement du site),,,,,Un joueur alterne les échanges avec deux ballons circulant sur des trajets différents. Rapprocher les partenaires et installer le rythme avant d’accélérer.,Deux ballons,Démarrer avec un seul ballon ; ajouter le second seulement après réussite. Faire tourner le rôle central.,Source consultée — validation terrain à faire,https://www.rugbycoaching.tv/plans/expert/Under7s/warm-up-handling-game/10001530,Description / Video Subtitles
ffr-cpf,Coup franc pour soi,jeu au pied,M8,15,4,4,,Maîtriser la remise en jeu et partir dans un espace libre.,"Plots, ballons, chasubles",Archive à relire avec le coach ; choisir une forme sans plaquage pour le premier essai et vérifier les règles locales.,Archive documentée — règles actuelles à vérifier,https://formation.ffr.fr/sites/default/files/documents/doc/2020-09/Plan%20de%20formation%20M8_2020-2021.pdf,PDF page 71
rc-rounders,Course autour des bases contre trois passes,coopération,U7 (classement du site) ; adéquation U8 à valider,,,,,Un coureur tente de boucler son parcours avant trois passes adverses.,Ballon ; bases à matérialiser,,Texte source consulté ; validation terrain non effectuée.,https://www.rugbycoaching.tv/plans/expert/Under7s/stg-rugby-rounders/10000819,Video Subtitles : consignes du parcours et des trois passes
nz-numbers-race,Course numérotée avec deux ballons,course,Under 7 (classement du site),,10,10,par groupe,Deux lignes face à face ; cinq binômes numérotés.,Deux ballons,,Description source ; validation pédagogique non effectuée.,https://www.rugbytoolbox.co.nz/training/technique/numbers-race,DRILL SET-UP et DRILL EXPLANATION
ffr-appuis,Déplacement à quatre appuis,motricité,M8,,,,,"Parcourir cinq mètres à quatre pattes, dos horizontal.",Aucun,,Source consultée — validation terrain à faire,https://api.liguenouvelleaquitaine.ffr.fr/wp-content/uploads/2021/04/FFR_rugby_a_la_maison_en_famille.pdf,"PDF page 8, atelier 3"
wr-tag-2v1,Deux contre un avec passes libres au départ,opposition et soutien,Initiation ; âge non précisé par World Rugby,10,5,5,"par atelier, attentes comprises",Deux attaquants affrontent un défenseur ; groupe de cinq.,Un ballon par groupe ; plots et rubans,,Situation documentaire ; adaptation U8 à valider.,https://www.world.rugby/the-game/game-participation/get-into-rugby/non-contact,2 v 1
rc-two-one,Deux contre un sans contact,passe,U7 (classement du site),,3,3,,"Deux attaquants avancent face à un défenseur simulé, sans contact. Le soutien reste derrière le porteur pour recevoir sans passe en avant.",Ballon ; couloir à matérialiser,"Défenseur d’abord immobile, puis marchant. Alterner les trois rôles et chercher une passe courte.",Source consultée — validation terrain à faire,https://www.rugbycoaching.tv/plans/expert/Under7s/2-v-1-passing/10001535,Description / Video Subtitles
rc-ten,Dix passes - variante communautaire documentee,passe,U8 (classement du site),,,,,Objectif annoncé : se rendre disponible sans ballon et communiquer avec le porteur. Le déroulement n’est pas documenté dans le texte consulté.,Non renseigné,,Variante Sportplan documentee ; video initiale incomplete,https://www.rugbycoaching.tv/videos/expert/Under8s/10-passes-game/10000813?ft=ppl&p=3069,Description publique
ffr-duellong-atelier,Duel long,déplacement,M8,,,,,Course vers la marque avec poursuite ; distances et lancement à compléter.,Non renseigné,,Piste M8 extraite du support de séance ; vidéo et organisation à compléter,https://fr.slideshare.net/slideshow/seance-atelier-n-3-ecole-de-rugby-janvier-2026/285036080,Diapositive 3 — Duel long
ffr-duels-atelier,Duels et soutien,coopération,M8,,,,,"Éviter l’opposant puis marquer, avec convergence du soutien ; lancement à compléter.",Non renseigné,,Piste M8 extraite du support de séance ; vidéo et organisation à compléter,https://fr.slideshare.net/slideshow/seance-atelier-n-4-ecole-de-rugby-mars-2026/286529544,Diapositive 3 — Duels et soutien
wr-scarecrow,Épouvantails avec délivrance,évitement,Initiation Get Into Rugby ; âge précis non indiqué,5,5,5,Par atelier ; source organisée en six ateliers parallèles,Épouvantails avec délivrance,Source pour six ateliers : six ballons et douze plots,,Texte source consulté ; adéquation U8 à valider.,https://www.world.rugby/the-game/game-participation/get-into-rugby/non-contact,Section Scarecrow Tag
rc-team-scarecrow,Épouvantails — chasseurs passeurs,coopération,U7 (classement du site) ; adéquation U8 à valider,,,,,"Des chasseurs échangent le ballon pour toucher les autres joueurs. Le porteur ne court pas ; après sa passe, il se déplace pour proposer une nouvelle solution. Changer régulièrement les chasseurs.",Ballon,,Description sourcée ; validation terrain non effectuée,https://www.rugbycoaching.tv/videos/coaching/Under7s/team-scarecrow-tag/10001338,Description / Video Subtitles
wr-follow-leader,File avec transmission au nouveau meneur,passe et soutien,Initiation Get Into Rugby ; âge non précisé,6,5,5,par atelier,Cinq joueurs en file suivent le porteur.,Un ballon par atelier ; plots pour délimiter,,Description documentaire ; adaptation U8 à valider par un coach.,https://www.world.rugby/the-game/game-participation/get-into-rugby/non-contact,Follow the Leader
ffr-gagne,Gagne-terrain,jeu collectif,M8,,,,,Gagner des points en franchissant des zones et en soutenant l’avancée.,"Plots, ballons, chasubles",Archive à relire avec le coach ; choisir une forme sans plaquage pour le premier essai et vérifier les règles locales.,Archive documentée — règles actuelles à vérifier,https://formation.ffr.fr/sites/default/files/documents/doc/2020-09/Plan%20de%20formation%20M8_2020-2021.pdf,PDF page 53
rc-endball-groups,Jeu de zone avec regroupements au signal,prise d’information,U7 (classement du site) ; adéquation U8 à valider,,,,,"Deux équipes progressent vers une zone de marque, avec des passes possibles dans toutes les directions. Après un toucher, transmettre rapidement. À l’annonce d’un nombre, interrompre le jeu et former des groupes de cette taille, puis reprendre.",Ballon,,Description sourcée ; validation terrain non effectuée,https://www.rugbycoaching.tv/videos/coaching/Under7s/end-ball-connecting-players/10002002,Video Subtitles — progression avec nombres
ffr-interval,Jouer les intervalles,prise d’information,M8,,8,8,,Valoriser les passes qui font avancer dans un espace libre.,"Plots, ballons, chasubles",Archive à relire avec le coach ; choisir une forme sans plaquage pour le premier essai et vérifier les règles locales.,Archive documentée — règles actuelles à vérifier,https://formation.ffr.fr/sites/default/files/documents/doc/2020-09/Plan%20de%20formation%20M8_2020-2021.pdf,PDF page 52
munster-mud,La boue et la délivrance,coopération,Primaire / mini-rugby,5,,,,Deux chasseurs figent les joueurs touchés ; un partenaire les libère en passant sous un bras.,Ballon et plots,"Proposition : commencer en marchant, faire tourner rapidement les rôles et éviter une longue attente des joueurs touchés.",Source consultée — validation terrain à faire,https://d2cx26qpfwuhvu.cloudfront.net/munster/wp-content/uploads/2021/04/19151510/Fundamental-Movement-program.pdf,PDF page 6
scot-chaine,La chaîne,coopération,Primaire (Écosse),,,,,Deux chasseurs se tiennent la main. Les joueurs touchés rejoignent la chaîne. Recommencer après une minute.,Non renseigné,,Source primaire consultée ; adéquation U8 à valider,https://scottishrugby.org/wp-content/uploads/2022/11/SRSW_primary-teachers-pack.pdf,PDF page 18
rc-taggrab,La chasse aux rubans,déplacement,U7 (classement du site),,,,,"Deux chasseurs sont désignés parmi deux équipes. Ils collectent les rubans des autres joueurs, qui tentent de les éviter dans l’espace de jeu.",Ceintures et rubans de tag,"Changer souvent les chasseurs. Utiliser un espace large, sans saisie des vêtements ni poussée.",Source consultée — validation terrain à faire,https://www.rugbycoaching.tv/plans/expert/Under7s/tag-grab/10000821,Description / Video Subtitles
au-octopus,La pieuvre et les algues,déplacement,Non précisé,,,,,Traverser sans être touché par les pieuvres. Un joueur touché devient une algue immobile qui peut toucher les passants. Continuer jusqu’à capture du groupe.,Neuf plots et quatre ballons indiqués par la source,Limiter les algues ou relancer une manche dès que le passage devient trop encombré. Sans ballon au début.,Source consultée — validation terrain à faire,https://australia.rugby/participate/get-into-rugby/activities/skills-evasion/rugby-octopus,Sections Description / Equipment / Change It
au-familiarisation,Le ballon répond au signal,manipulation,Non précisé,,,,,"Dans un espace délimité, chacun se déplace avec un ballon. Au signal, effectuer une action : poser et ramasser, transmettre, marquer ou réaliser une petite passe.",Neuf plots ; un ballon par joueur,"Commencer avec deux consignes distinctes, puis en ajouter une. Garder de l’espace entre joueurs.",Source consultée — validation terrain à faire,https://australia.rugby/participate/get-into-rugby/activities/skills-catch-pass/ball-familiarisation,Sections Description / Equipment / Change It
rc-piggy,Le joueur au milieu,passe,U7 (classement du site),,4,4,,Le porteur reste immobile ; ses deux partenaires cherchent une ligne de passe autour de l’intercepteur. Changer les rôles et travailler la communication. La source propose des manches d’une minute puis trente secondes.,Un ballon ; espace délimité,"Commencer avec un défenseur qui marche, puis le rendre libre. Montrer les mains et appeler le porteur.",Source consultée — validation terrain à faire,https://www.rugbycoaching.tv/plans/expert/Under7s/tag-game-piggy-in-the-middle/10000410,Description / Video Subtitles
rc-aliens,Les extraterrestres,déplacement,U7 (classement du site),,,,,Les chasseurs poursuivent les joueurs. Un joueur touché prend un ballon et rejoint les chasseurs ; la poursuite continue jusqu’au dernier joueur.,Plusieurs ballons,Commencer en marchant avec un chasseur. Prévoir des manches courtes et toucher sans projeter le ballon.,Source consultée — validation terrain à faire,https://www.rugbycoaching.tv/plans/expert/Under7s/aliens/10000811,Description / Video Subtitles
ffr-gazelles-atelier,Les gazelles,lutte,M8,,,,,Situation de lutte pour aborder l’opposition corporelle ; déroulement vidéo à examiner.,Non renseigné,,Piste M8 extraite du support de séance ; vidéo et organisation à compléter,https://fr.slideshare.net/slideshow/seance-atelier-n-1-octobre-2025-ecole-de-rugby/283498708,Diapositive 3 — Les gazelles
munster-gates,Les portes à franchir,prise d’information,Primaire / mini-rugby,,,,,"Marquer en franchissant une porte libre, puis passer ; ne pas reprendre immédiatement la même porte.",Ballon et plots,"Proposition : commencer en marchant, faire tourner rapidement les rôles et éviter une longue attente des joueurs touchés.",Source consultée — validation terrain à faire,https://d2cx26qpfwuhvu.cloudfront.net/munster/wp-content/uploads/2021/04/19151510/Fundamental-Movement-program.pdf,PDF page 7
rc-statues,Les statues,déplacement,U7 (classement du site),,,,,"Trois chasseurs porteurs de ballon touchent les autres joueurs, qui deviennent immobiles. Chronométrer la capture de tout le groupe, puis changer les chasseurs.",Trois ballons,Manches courtes ; une nouvelle manche remet tout le monde en jeu. Demander de regarder devant soi.,Source consultée — validation terrain à faire,https://www.rugbycoaching.tv/plans/expert/Under7s/stg-statues/10000820,Description / Video Subtitles
rc-eggs,Les œufs dans les nids,déplacement,11–12 ans,,,,,"Par équipes de trois, rapporter les ballons des autres nids, un à la fois. Une progression interdit de garder son nid. Compter les ballons à la fin.",Plusieurs ballons ; nids à matérialiser,"Proposition U8 à valider : montrer un trajet, faire une manche courte sans défense des nids, espacer les zones pour réduire les croisements.",Source consultée — validation terrain à faire,https://www.rugbycoaching.tv/videos/expert/Under8s/egg-in-the-nest-game/10001603?ft=ppl&p=3069,Sous-titres : équipes de trois et collecte
ffr-auto,L’auto-stoppeur,coopération,M8,,,,,Coopérer pour faire progresser le ballon malgré les défenseurs.,"Plots, ballons, chasubles",Archive à relire avec le coach ; choisir une forme sans plaquage pour le premier essai et vérifier les règles locales.,Archive documentée — règles actuelles à vérifier,https://formation.ffr.fr/sites/default/files/documents/doc/2020-09/Plan%20de%20formation%20M8_2020-2021.pdf,PDF page 51
ffr-initiative,L’initiative,prise d’information,M8,20,10,10,,Repérer les espaces ouverts par des défenseurs temporairement immobilisés.,"Plots, ballons, chasubles",Archive à relire avec le coach ; choisir une forme sans plaquage pour le premier essai et vérifier les règles locales.,Archive documentée — règles actuelles à vérifier,https://formation.ffr.fr/sites/default/files/documents/doc/2020-09/Plan%20de%20formation%20M8_2020-2021.pdf,PDF page 55
nz-awareness,Manipulations autour du corps,manipulation,Under 7 (classement du site),,,,,Joueurs espacés dans la zone.,Un ballon par joueur,,Description sourcée ; validation terrain non effectuée.,https://www.rugbytoolbox.co.nz/training/technique/ball-awareness,DRILL SET-UP et DRILL EXPLANATION
nz-no-ball,"Opposition sans ballon, attaquant désigné",prise d’information,Under 7 (classement Rugby Toolbox),,,10,Total ; minimum non indiqué,"Deux équipes face à face, à dix mètres. Un attaquant lève la main.",Chasubles,,Vérification documentaire ; adéquation U8 et validation terrain à confirmer.,https://www.rugbytoolbox.co.nz/training/technique/no-ball-touch-9,DRILL EXPLANATION et DRILL SET-UP
ffr-pantheres-atelier,Panthères et chenilles,posture,M8,,,,,Maintenir une posture pendant le déplacement ; les deux situations restent à segmenter après visionnage.,Non renseigné,,Piste M8 extraite du support de séance ; vidéo et organisation à compléter,https://fr.slideshare.net/slideshow/seance-atelier-n-3-ecole-de-rugby-janvier-2026/285036080,Diapositive 3 — Panthères et chenilles
scot-passback,Passe arrière avec jokers,soutien,Primaire (Écosse) ; adéquation U8 à valider,,,,,Avancer en soutenant le porteur.,"Plots, chasubles et ballon",,Lecture du texte et du schéma ; validation coach non effectuée.,https://scottishrugby.org/wp-content/uploads/2022/11/SRSW_primary-teachers-pack.pdf,PDF page 23 (pagination fichier)
rc-pairs,Passer avec un soutien en retrait,passe,U7 (classement du site),,2,2,,Deux joueurs avancent et échangent une passe courte. Une progression ajoute un obstacle représentant le défenseur : le soutien doit rester en retrait pour recevoir derrière cet obstacle.,"Ballon, plots ; bouclier dans la progression",Commencer en marchant dans des couloirs parallèles. Utiliser un plot comme repère avant un défenseur passif.,Source consultée — validation terrain à faire,https://www.rugbycoaching.tv/plans/expert/Under7s/passing-in-2s/10001533,Description / Video Subtitles
munster-end,Passer dans la zone d’arrivée,jeu collectif,Primaire / mini-rugby,,,,,Deux équipes cherchent la zone d’essai par des passes ; la source propose cinq touchers pour marquer.,Ballon et plots,"Proposition : commencer en marchant, faire tourner rapidement les rôles et éviter une longue attente des joueurs touchés.",Source consultée — validation terrain à faire,https://d2cx26qpfwuhvu.cloudfront.net/munster/wp-content/uploads/2021/04/19151510/Fundamental-Movement-program.pdf,PDF page 9
nz-touchdown,Passer puis échapper au poursuivant,évitement,Under 7 (classement du site),,10,12,,Deux files face à face ; le ballon circule dans une file.,Un ballon et un plot,,Description sourcée ; validation terrain non effectuée.,https://www.rugbytoolbox.co.nz/training/technique/touchdown,DRILL SET-UP et DRILL EXPLANATION
rc-calling-pairs,Passer sur appel dans un espace partagé,passe,U7 (classement du site) ; adéquation U8 à valider,,,,,Choisir quand passer malgré les déplacements des autres binômes.,Ballons,,"Vérification documentaire ; aucune validation terrain. Règles de jeu éducatif, pas un règlement de compétition.",https://www.rugbycoaching.tv/plans/expert/Under7s/ccru-game-passing-pairs/10000910,Description et Video Subtitles de la fiche ; recommandations exclues
wr-chain-reaction,Passes après départs dans cinq postures,passe et soutien,Initiation Get Into Rugby ; âge non précisé,6,5,5,par groupe actif,"Départs debout, un genou, deux genoux, allongé et assis.",Ballon par groupe pour la chaîne et la formation ; un par couloir pour les relais. Plots.,,Source documentaire ; adaptation U8 non validée.,https://www.world.rugby/the-game/game-participation/get-into-rugby/non-contact,Pass and Support- Chain Reaction
nz-circle,Passes en cercle tourné vers l’extérieur,passe,Under 7 (classement du site),,6,8,,"Cercles en compétition, joueurs tournés vers l’extérieur.",Un ballon par groupe,,Description sourcée ; validation terrain non effectuée.,https://www.rugbytoolbox.co.nz/training/technique/passing-circle,DRILL SET-UP et DRILL EXPLANATION
wr-formation,Passes en escalier par cinq,passe et soutien,Initiation Get Into Rugby ; âge non précisé,6,5,5,par groupe actif,Cinq joueurs en file.,Ballon par groupe pour la chaîne et la formation ; un par couloir pour les relais. Plots.,,Source documentaire ; adaptation U8 non validée.,https://www.world.rugby/the-game/game-participation/get-into-rugby/non-contact,Pass and Support- Formation
rc-triangle,Passes en triangle et changement de posture,passe,U9 (classement du site),,3,3,,"En triangle, transmettre puis s’asseoir et se relever avant la prochaine réception. Le document montre aussi des échanges latéraux et des progressions avec plusieurs ballons.",Un ballon pour la situation de départ,Garder un seul ballon et ralentir. Remplacer l’assise par un demi-tour si les enfants perdent le rythme.,Source consultée — validation terrain à faire,https://www.rugbycoaching.tv/videos/expert/Under9s/home-training-competitive-games/10001600,Description / Video Subtitles
rc-lateral-three,Passes latérales en vagues de trois,passe,U7 (classement du site) ; adéquation U8 à valider,,3,3,,Trois joueurs avancent et transmettent successivement le ballon en atteignant une ligne repère. Les receveurs restent en retrait du porteur. Recommencer dans l’autre sens pour passer des deux côtés.,Ballon,,Description sourcée ; validation terrain non effectuée,https://www.rugbycoaching.tv/videos/coaching/Under7s/lateral-passing-in-3s/10001531,Description / Video Subtitles
ffr-plaquage-atelier,Plaquage et libération,contact,M8,,,,,Progression technique dont une entrée à genoux ; vidéo entière requise pour qualifier les étapes.,Non renseigné,,Piste M8 extraite du support de séance ; vidéo et organisation à compléter,https://fr.slideshare.net/slideshow/seance-atelier-n-2-ecole-de-rugby-novembre-2025/284074128,Diapositive 3 — Plaquage et libération
rc-pass-start,Premières passes en ligne,passe,U7 (classement du site) ; adéquation U8 à valider,,,,,"Les débutants font circuler le ballon le long d’une ligne, d’abord lentement et à l’arrêt, puis plus vite. Recevoir, regarder le partenaire et orienter les mains vers sa cible. Changer le sens de circulation.",Ballon,,Description sourcée ; validation terrain non effectuée,https://www.rugbycoaching.tv/videos/coaching/Under7s/learning-to-pass-first-steps/10001604,Description / Video Subtitles
ffr-protege-atelier,Protège-ballon,lutte,M8,,,,,Protéger son équilibre face à l’adversaire ; organisation à compléter.,Non renseigné,,Piste M8 extraite du support de séance ; vidéo et organisation à compléter,https://fr.slideshare.net/slideshow/seance-atelier-n-1-octobre-2025-ecole-de-rugby/283498708,Diapositive 3 — Protège-ballon
rc-chaos-touch,"Quatre cibles, porteur immobile",prise d’information,U7 (classement du site) ; adéquation U8 à valider,,,,,Trouver un partenaire libre dans une zone de marque.,Ballon et plots de couleurs,,"Vérification documentaire ; aucune validation terrain. Règles de jeu éducatif, pas un règlement de compétition.",https://www.rugbycoaching.tv/plans/expert/Under7s/ccru-game-chaos-touch/10000907,Description et Video Subtitles de la fiche ; recommandations exclues
rc-four-one,Quatre passeurs contre un intercepteur,passe,U7 (classement du site) ; adéquation U8 à valider,,5,5,,Quatre joueurs conservent le ballon face à un intercepteur et cherchent dix passes consécutives. Préparer les mains et appeler le porteur.,Ballon,,Description sourcée ; validation terrain non effectuée,https://www.rugbycoaching.tv/videos/coaching/Under7s/piggy-in-the-middle-4v1/10001339,Description / Video Subtitles
ffr-ramasser,Ramasser puis transmettre,passe,M8,,,,,"Ramasser, transmettre à une cible ou un partenaire, puis réceptionner. Éloigner progressivement la cible.",Ballon,,Source consultée — validation terrain à faire,https://api.liguenouvelleaquitaine.ffr.fr/wp-content/uploads/2021/04/FFR_rugby_a_la_maison_en_famille.pdf,"PDF page 10, atelier 1"
nz-pick-place,"Ramasser, porter et reposer",manipulation,Under 7 (classement du site),,15,20,,Une file traverse une zone où les ballons sont dispersés.,Cinq à huit ballons,,Description sourcée ; validation terrain non effectuée.,https://www.rugbytoolbox.co.nz/training/technique/pick-place,DRILL SET-UP et DRILL EXPLANATION
munster-rats,Rats et lapins,déplacement,Primaire / mini-rugby,,,,,"Deux lignes se font face. Le groupe nommé rejoint son refuge, poursuivi par son partenaire.",Ballon et plots,"Proposition : commencer en marchant, faire tourner rapidement les rôles et éviter une longue attente des joueurs touchés.",Source consultée — validation terrain à faire,https://d2cx26qpfwuhvu.cloudfront.net/munster/wp-content/uploads/2021/04/19151510/Fundamental-Movement-program.pdf,PDF page 5
rc-bounce,Rebondir et échanger en binôme,manipulation,U9 (classement du site),,2,2,,"Faire rebondir le ballon sur sa pointe, puis échanger des passes après rebond avec un partenaire. Une progression travaille la réception d’une seule main en changeant de côté.",Un ballon,Conserver d’abord la réception à deux mains ; choisir une surface régulière et une faible distance.,Source consultée — validation terrain à faire,https://www.rugbycoaching.tv/videos/expert/Under9s/home-training-passing-with-dad/10001597,Description / Video Subtitles
ffr-guide-recevoir-passer,Recevoir à différentes hauteurs et passer,passe,M8 — guide saison 2022-2023,,4,4,,Recevoir à différentes hauteurs et passer,Ballons et plots,,Texte du guide consulté ; capture locale bloquée par robots.txt. Pas de validation terrain.,https://api.www.ffr.fr/wp-content/uploads/2023/04/guide-de-leducateur-moins-de-8-ans-2023.pdf,PDF page 24
